lengths,angles,species,coords
"[4.5, 4.5, 4.5]","[59.0, 59.0, 59.0]","['Nb', 'Nb', 'Mo', 'Os']","[[0.97, 0.98, 0.63], [0.47, 0.48, 0.13], [0.72, 0.73, 0.38], [0.22, 0.23, 0.88]]"
"[4.8, 4.8, 4.8]","[59.0, 59.0, 59.0]","['Li', 'Li', 'Ho', 'Tl']","[[0.09, 0.34, 0.16], [0.59, 0.84, 0.66], [0.34, 0.59, 0.41], [0.84, 0.09, 0.91]]"
"[5.2, 5.2, 5.2]","[59.0, 59.0, 59.0]","['Th', 'Ag', 'Hg', 'Hg']","[[0.75, 0.71, 0.16], [0.25, 0.21, 0.66], [0.5, 0.46, 0.91], [1.0, 0.96, 0.41]]"
"[0.42, 1.0, 1.0]","[90.0, 90.0, 90.0]","['Ba', 'Ba', 'Yb', 'Ta', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.81, 0.26, 0.68], [0.31, 0.76, 0.68], [0.31, 0.76, 0.18], [0.81, 0.26, 0.18], [0.81, 0.76, 0.18], [0.31, 0.26, 0.18], [0.81, 0.26, 0.96], [0.81, 0.26, 0.31], [0.15, 0.04, 0.91], [0.47, 0.48, 0.91], [0.58, 0.93, 0.91], [0.94, 0.61, 0.91], [0.58, 0.54, 0.36], [0.15, 0.11, 0.36], [0.44, 0.04, 0.36], [0.97, 0.43, 0.36]]"
"[5.4, 5.4, 5.4]","[59.0, 59.0, 59.0]","['Pm', 'Pm', 'Zn', 'Sn']","[[0.36, 0.65, 0.19], [0.86, 0.15, 0.69], [0.11, 0.4, 0.94], [0.61, 0.9, 0.44]]"
"[8.9, 8.9, 4.1]","[90.0, 90.0, 120.0]","['Ce', 'Ce', 'Ce', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni']","[[0.39, 0.8, 0.62], [0.73, 0.46, 0.62], [0.06, 0.13, 0.12], [0.56, 0.63, 0.12], [0.56, 0.13, 0.12], [0.06, 0.63, 0.12], [0.77, 0.84, 0.62], [0.34, 0.13, 0.62], [0.06, 0.41, 0.62], [0.87, 0.32, 0.12], [0.87, 0.76, 0.12], [0.32, 0.32, 0.12], [0.24, 0.94, 0.12], [0.69, 0.94, 0.12], [0.24, 0.5, 0.12], [0.39, 0.47, 0.62], [0.72, 0.13, 0.62], [0.06, 0.79, 0.62]]"
"[4.9, 4.9, 4.9]","[90.0, 90.0, 120.0]","['B', 'B', 'B', 'Ir', 'Ir', 'Ir', 'Pd', 'Pd', 'Pd']","[[0.94, 0.09, 0.14], [0.27, 0.75, 0.14], [0.61, 0.42, 0.14], [0.27, 0.42, 0.9], [0.61, 0.09, 0.9], [0.94, 0.75, 0.9], [0.61, 0.75, 0.4], [0.27, 0.09, 0.4], [0.94, 0.42, 0.4]]"
"[8.6, 8.6, 8.6]","[59.0, 59.0, 59.0]","['K', 'K', 'Ag', 'Bi', 'I', 'I', 'I', 'I', 'I', 'I']","[[0.56, 0.98, 0.44], [0.06, 0.48, 0.94], [0.31, 0.73, 0.19], [0.81, 0.23, 0.69], [0.55, 0.49, 0.95], [0.07, 0.49, 0.43], [0.07, 0.97, 0.43], [0.07, 0.97, 0.95], [0.55, 0.49, 0.43], [0.55, 0.97, 0.95]]"
"[4.2, 4.2, 6.8]","[90.0, 90.0, 119.0]","['Nd', 'Al', 'Al', 'Si', 'Si']","[[0.71, 0.02, 0.96], [0.38, 0.35, 0.32], [0.04, 0.69, 0.6], [0.38, 0.35, 0.7], [0.04, 0.69, 0.22]]"
"[6.0, 6.0, 6.0]","[59.0, 59.0, 59.0]","['Rb', 'Rb', 'Li', 'Sc', 'F', 'F', 'F', 'F', 'F', 'F']","[[0.99, 0.75, 0.2], [0.49, 0.25, 0.7], [0.24, 0.0, 0.45], [0.74, 0.5, 0.95], [0.98, 0.26, 0.2], [0.5, 0.26, 0.19], [0.5, 0.75, 0.19], [0.98, 0.26, 0.71], [0.98, 0.75, 0.71], [0.5, 0.75, 0.71]]"
"[7.4, 7.4, 7.4]","[59.0, 59.0, 59.0]","['Rb', 'Rb', 'Ag', 'As', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']","[[0.53, 0.62, 0.23], [0.03, 0.12, 0.73], [0.28, 0.37, 0.98], [0.78, 0.87, 0.48], [0.54, 0.11, 0.72], [0.02, 0.11, 0.24], [0.02, 0.63, 0.24], [0.02, 0.63, 0.72], [0.54, 0.11, 0.24], [0.54, 0.63, 0.72]]"
"[5.3, 5.3, 5.3]","[90.0, 90.0, 90.0]","['Ca', 'Mg', 'Mg', 'Mg']","[[0.19, 0.63, 0.63], [0.69, 0.13, 0.63], [0.69, 0.63, 0.13], [0.19, 0.13, 0.13]]"
"[0.1, 0.2, 0.11]",[],[],[]
"[5.2, 5.2, 5.3]","[90.0, 90.0, 120.0]","['Sr', 'Mg', 'Mg', 'Pd']","[[0.99, 0.83, 0.22], [0.32, 0.49, 0.72], [0.66, 0.16, 0.72], [0.99, 0.83, 0.72]]"
"[4.4, 4.4, 4.4]","[59.0, 59.0, 59.0]","['Mg', 'Mg', 'Ir', 'Rh']","[[0.15, 0.28, 0.92], [0.65, 0.78, 0.42], [0.4, 0.53, 0.17], [0.9, 0.03, 0.67]]"
"[3.1, 4.9, 9.9]","[89.0, 90.0, 90.0]","['Mn', 'Mn', 'Mn', 'Mn', 'O', 'O', 'O', 'O', 'F', 'F', 'F', 'F']","[[0.02, 0.37, 0.33], [0.02, 0.4, 0.83], [0.52, 0.87, 0.59], [0.52, 0.89, 0.09], [0.02, 0.65, 0.67], [0.02, 0.11, 0.17], [0.52, 0.14, 0.25], [0.52, 0.6, 0.75], [0.02, 0.65, 0.01], [0.02, 0.11, 0.51], [0.52, 0.14, 0.91], [0.52, 0.61, 0.41]]"
"[3.4, 3.4, 13.4]","[90.0, 90.0, 120.0]","['Ta', 'Ta', 'Ni', 'S', 'S', 'S', 'S']","[[0.22, 0.78, 0.23], [0.56, 0.45, 0.73], [0.22, 0.78, 0.44], [0.22, 0.78, 0.65], [0.56, 0.45, 0.33], [0.56, 0.45, 0.13], [0.22, 0.78, 0.82]]"
"[4.1, 4.1, 4.1]","[59.0, 59.0, 59.0]","['Ag', 'Cl']","[[0.15, 0.16, 0.38], [0.65, 0.66, 0.88]]"
"[5.7, 5.7, 10.9]","[90.0, 90.0, 119.0]","['Ba', 'Ba', 'Ba', 'Ba', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.95, 0.66, 0.28], [0.62, 0.99, 0.78], [0.29, 0.33, 0.61], [0.29, 0.33, 0.11], [0.62, 0.99, 0.41], [0.95, 0.66, 0.91], [0.95, 0.66, 0.57], [0.62, 0.99, 0.07], [0.29, 0.33, 0.86], [0.29, 0.33, 0.36], [0.46, 0.14, 0.28], [0.9, 0.14, 0.28], [0.67, 0.5, 0.78], [0.46, 0.69, 0.28], [0.11, 0.5, 0.78], [0.11, 0.95, 0.78], [0.29, 0.83, 0.56], [0.79, 0.33, 0.56], [0.29, 0.83, 0.06], [0.79, 0.33, 0.06], [0.79, 0.83, 0.56], [0.79, 0.83, 0.06]]"
"[8.2, 8.2, 8.2]","[109.0, 109.0, 109.0]","['In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In']","[[0.83, 0.44, 0.66], [0.83, 0.69, 0.41], [0.58, 0.44, 0.91], [0.33, 0.69, 0.91], [0.33, 0.94, 0.66], [0.58, 0.94, 0.41], [0.08, 0.19, 0.49], [0.08, 0.56, 0.16], [0.75, 0.19, 0.16], [0.41, 0.81, 0.24], [0.08, 0.19, 0.74], [0.08, 0.31, 0.16], [0.58, 0.69, 0.66], [0.86, 0.22, 0.94], [0.55, 0.16, 0.63], [0.55, 0.48, 0.41], [0.21, 0.16, 0.41], [0.86, 0.91, 0.41], [0.58, 0.91, 0.94], [0.11, 0.48, 0.41], [0.3, 0.48, 0.63], [0.11, 0.69, 0.63], [0.3, 0.19, 0.94], [0.86, 0.69, 0.98], [0.08, 0.91, 0.98], [0.55, 0.64, 0.16], [0.36, 0.41, 0.16], [0.55, 0.19, 0.3]]"
"[8.5, 8.5, 8.5]","[59.0, 59.0, 59.0]","['Rb', 'Rb', 'Tl', 'Ag', 'I', 'I', 'I', 'I', 'I', 'I']","[[0.49, 0.72, 0.44], [0.99, 0.22, 0.94], [0.24, 0.47, 0.19], [0.74, 0.97, 0.69], [0.49, 0.22, 0.94], [0.99, 0.22, 0.44], [0.99, 0.72, 0.44], [0.99, 0.72, 0.94], [0.49, 0.22, 0.44], [0.49, 0.72, 0.94]]"
"[6.9, 6.9, 6.9]","[90.0, 90.0, 90.0]","['Zn', 'Zn', 'Zn', 'Zn', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'Ir', 'Ir', 'Ir', 'Ir', 'Ir', 'Ir', 'Ir', 'Ir']","[[0.99, 0.16, 0.64], [0.99, 0.16, 0.14], [0.49, 0.66, 0.64], [0.49, 0.66, 0.14], [0.32, 0.49, 0.87], [0.66, 0.99, 0.87], [0.16, 0.83, 0.37], [0.82, 0.33, 0.37], [0.66, 0.83, 0.41], [0.32, 0.33, 0.41], [0.82, 0.49, 0.91], [0.16, 0.99, 0.91], [0.08, 0.5, 0.64], [0.91, 0.82, 0.64], [0.41, 0.0, 0.14], [0.58, 0.32, 0.14], [0.49, 0.39, 0.76], [0.49, 0.93, 0.76], [0.99, 0.89, 0.26], [0.99, 0.43, 0.26]]"
"[6.8, 7.5, 7.8]","[90.0, 90.0, 90.0]","['Zr', 'Zr', 'Cu', 'Cu', 'Cu', 'Cu', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te']","[[0.16, 0.33, 0.16], [0.66, 0.83, 0.66], [0.42, 0.21, 0.53], [0.93, 0.71, 0.29], [0.92, 0.45, 0.79], [0.43, 0.95, 0.03], [0.17, 0.83, 0.65], [0.67, 0.33, 0.16], [0.67, 0.48, 0.56], [0.17, 0.98, 0.26], [0.17, 0.68, 0.06], [0.67, 0.18, 0.76]]"
"[4.9, 4.9, 4.9]","[59.0, 59.0, 59.0]","['Sm', 'Er', 'Ir', 'Ir']","[[0.28, 0.87, 0.99], [0.78, 0.37, 0.49], [0.53, 0.12, 0.24], [0.03, 0.62, 0.74]]"
"[8.1, 8.1, 8.1]","[109.0, 109.0, 109.0]","['Ce', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Ru', 'Ru', 'Ru', 'Ru']","[[0.65, 0.12, 0.88], [0.49, 0.78, 0.38], [0.81, 0.46, 0.38], [0.81, 0.78, 0.7], [0.49, 0.46, 0.05], [0.31, 0.62, 0.72], [0.99, 0.62, 0.04], [0.31, 0.94, 0.04], [0.99, 0.3, 0.72], [0.16, 0.96, 0.54], [0.15, 0.28, 0.22], [0.83, 0.96, 0.22], [0.47, 0.28, 0.54], [0.15, 0.62, 0.38], [0.15, 0.12, 0.88], [0.65, 0.62, 0.88], [0.65, 0.12, 0.38]]"
"[5.6, 5.6, 7.7]","[90.0, 90.0, 119.0]","['K', 'K', 'K', 'Na', 'P', 'P', 'O', 'O', 'O', 'O', 'O', 'O', 'F', 'F']","[[0.86, 0.72, 0.13], [0.52, 0.05, 0.46], [0.19, 0.38, 0.8], [0.52, 0.05, 0.96], [0.86, 0.72, 0.65], [0.19, 0.38, 0.28], [0.68, 0.89, 0.75], [0.68, 0.34, 0.75], [0.23, 0.89, 0.75], [0.82, 0.21, 0.18], [0.19, 0.38, 0.5], [0.86, 0.72, 0.42], [0.19, 0.38, 0.18], [0.86, 0.72, 0.79]]"
"[5.0, 5.0, 10.2]","[90.0, 90.0, 90.0]","['Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'S', 'S']","[[0.15, 0.46, 0.09], [0.15, 0.46, 0.59], [0.65, 0.21, 0.69], [0.65, 0.21, 0.19], [0.9, 0.96, 0.94], [0.9, 0.96, 0.44], [0.15, 0.46, 0.83], [0.15, 0.46, 0.33], [0.65, 0.71, 0.69], [0.65, 0.71, 0.19], [0.4, 0.96, 0.94], [0.4, 0.96, 0.44], [0.15, 0.96, 0.69], [0.15, 0.96, 0.19]]"
"[4.0, 4.0, 21.2]","[90.0, 90.0, 90.0]","['Tb', 'Tb', 'Tb', 'Ag', 'Ag', 'Ag', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As']","[[0.5, 0.91, 0.28], [0.02, 0.4, 0.53], [0.52, 0.42, 0.03], [0.0, 0.9, 0.78], [0.51, 0.91, 0.78], [0.02, 0.41, 0.28], [0.02, 0.41, 0.71], [0.52, 0.91, 0.6], [0.0, 0.4, 0.11], [0.51, 0.91, 0.2], [0.01, 0.9, 0.95], [0.01, 0.91, 0.46], [0.51, 0.41, 0.37], [0.52, 0.41, 0.87]]"
"[5.2, 5.2, 5.9]","[90.0, 90.0, 113.0]","['Li', 'Li', 'V', 'V', 'V', 'Cr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.18, 0.68, 0.48], [0.68, 0.18, 0.98], [0.68, 0.68, 0.73], [0.68, 0.68, 0.23], [0.18, 0.18, 0.73], [0.18, 0.18, 0.23], [0.43, 0.93, 0.73], [0.44, 0.93, 0.23], [0.93, 0.43, 0.73], [0.93, 0.42, 0.23], [0.44, 0.42, 0.97], [0.94, 0.92, 0.47], [0.42, 0.44, 0.47], [0.93, 0.94, 0.97]]"
"[0.01, 0.01, 0.01]","[90.0, 90.0, 90.0]","['Ca', 'Ca', 'Er', 'Er', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","[[0.25, 0.18, 0.73], [0.75, 0.68, 0.23], [0.25, 0.18, 0.23], [0.75, 0.68, 0.73], [0.5, 0.43, 0.98], [0.5, 0.93, 0.98], [0.0, 0.43, 0.98], [0.0, 0.93, 0.48], [0.5, 0.43, 0.48], [0.5, 0.93, 0.48], [0.0, 0.43, 0.48], [0.0, 0.93, 0.48]]"
"[5.0, 5.1, 6.6]","[89.0, 90.0, 90.0]","['Li', 'Li', 'Li', 'Li', 'Cr', 'Cr', 'Si', 'Si', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.34, 0.54, 0.16], [0.84, 0.02, 0.15], [0.34, 0.54, 0.65], [0.84, 0.02, 0.66], [0.34, 0.06, 0.4], [0.84, 0.5, 0.9], [0.84, 0.55, 0.4], [0.34, 0.0, 0.9], [0.17, 0.35, 0.4], [0.67, 0.21, 0.9], [0.12, 0.85, 0.9], [0.62, 0.71, 0.4], [0.62, 0.7, 0.9], [0.12, 0.86, 0.4], [0.66, 0.21, 0.4], [0.16, 0.35, 0.9]]"
"[6.9, 6.9, 6.9]","[59.0, 59.0, 59.0]","['V', 'V', 'V', 'V', 'Ge', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']","[[0.84, 0.38, 0.8], [0.84, 0.9, 0.28], [0.36, 0.38, 0.28], [0.84, 0.38, 0.28], [0.22, 0.76, 0.66], [0.06, 0.62, 0.52], [0.58, 0.14, 0.52], [0.58, 0.62, 0.04], [0.06, 0.14, 0.04], [0.59, 0.63, 0.52], [0.06, 0.15, 0.52], [0.06, 0.63, 0.04], [0.58, 0.14, 0.04]]"
"[6.8, 6.8, 8.5]","[90.0, 90.0, 120.0]","['Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge']","[[0.61, 0.73, 0.22], [0.94, 0.39, 0.72], [0.94, 0.39, 0.22], [0.61, 0.73, 0.72], [0.28, 0.06, 0.22], [0.28, 0.06, 0.72], [0.88, 0.73, 0.47], [0.61, 0.0, 0.97], [0.22, 0.39, 0.97], [0.99, 0.06, 0.97], [0.99, 0.79, 0.97], [0.28, 0.79, 0.47], [0.61, 0.34, 0.47], [0.22, 0.34, 0.47], [0.88, 0.0, 0.47], [0.28, 0.73, 0.97]]"
"[5.9, 5.9, 5.9]","[33.0, 33.0, 33.0]","['Zr', 'Zr', 'C', 'N']","[[0.68, 0.12, 0.4], [0.17, 0.61, 0.9], [0.43, 0.87, 0.15], [0.93, 0.37, 0.65]]"
"[3.8, 3.8, 14.5]","[90.0, 90.0, 90.0]","['Ba', 'Sr', 'Y', 'Y', 'Cu', 'Cu', 'Cu', 'Cu', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.87, 0.98, 0.34], [0.87, 0.98, 0.84], [0.87, 0.98, 0.59], [0.87, 0.98, 0.09], [0.37, 0.48, 0.71], [0.37, 0.48, 0.96], [0.37, 0.48, 0.21], [0.37, 0.48, 0.47], [0.87, 0.48, 0.69], [0.87, 0.48, 0.98], [0.87, 0.48, 0.19], [0.87, 0.48, 0.48], [0.37, 0.48, 0.84], [0.37, 0.48, 0.34], [0.37, 0.98, 0.69], [0.37, 0.98, 0.98], [0.37, 0.98, 0.19], [0.37, 0.98, 0.48]]"
"[7.5, 7.5, 7.5]","[148.0, 148.0, 45.0]","['Eu', 'Eu', 'P', 'P', 'Ir', 'Ir']","[[0.56, 0.46, 0.67], [0.82, 0.21, 0.17], [0.18, 0.08, 0.67], [0.4, 0.84, 0.17], [0.99, 0.89, 0.67], [0.24, 0.64, 0.17]]"
"[8.4, 8.4, 8.4]","[109.0, 109.0, 109.0]","['Ca', 'Ca', 'La', 'La', 'La', 'La', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te']","[[0.62, 0.66, 0.61], [0.87, 0.41, 0.11], [0.37, 0.53, 0.98], [0.75, 0.16, 0.48], [0.12, 0.03, 0.23], [0.25, 0.91, 0.73], [0.84, 0.78, 0.86], [0.34, 0.78, 0.36], [0.5, 0.28, 0.7], [1.0, 0.64, 0.36], [0.15, 0.43, 0.5], [1.0, 0.14, 0.86], [0.5, 0.28, 0.2], [0.65, 0.93, 0.0]]"
"[4.1, 4.1, 6.6]","[90.0, 90.0, 90.0]","['Sc', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ni']","[[0.82, 0.92, 0.06], [0.82, 0.42, 0.36], [0.82, 0.42, 0.76], [0.32, 0.92, 0.36], [0.32, 0.92, 0.76], [0.32, 0.42, 0.06], [0.82, 0.92, 0.56]]"
"[10.4, 10.4, 10.4]","[156.0, 156.0, 33.0]","['Nd', 'Nd', 'Fe', 'Fe', 'Se', 'Se', 'O', 'O', 'O']","[[0.24, 0.19, 0.56], [0.88, 0.83, 0.56], [0.06, 0.01, 0.56], [0.56, 0.51, 0.56], [0.46, 0.41, 0.56], [0.65, 0.6, 0.56], [0.81, 0.26, 0.06], [0.31, 0.76, 0.06], [0.06, 0.51, 0.06]]"
"[6.2, 6.2, 6.2]","[90.0, 90.0, 90.0]","['K', 'K', 'K', 'Bi']","[[0.87, 0.93, 0.72], [0.37, 0.93, 0.22], [0.37, 0.43, 0.72], [0.87, 0.43, 0.22]]"
"[6.9, 6.9, 6.9]","[28.0, 28.0, 28.0]","['Na', 'In', 'O', 'O']","[[0.05, 0.14, 0.53], [0.2, 0.29, 0.69], [0.78, 0.87, 0.27], [0.47, 0.56, 0.95]]"
"[0.77, 0.77, 1.0]","[69.0, 69.0, 27.0]","['Dy', 'Dy', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']","[[0.7, 0.6, 0.05], [0.96, 0.86, 0.81], [0.24, 0.13, 0.45], [0.42, 0.32, 0.36], [0.07, 0.97, 0.29], [0.6, 0.51, 0.57], [0.34, 0.22, 0.93], [0.36, 0.25, 0.68], [0.12, 0.03, 0.71], [0.55, 0.45, 0.16], [0.87, 0.77, 0.41]]"
"[6.1, 6.1, 6.1]","[139.0, 139.0, 59.0]","['Gd', 'Si', 'Si', 'Ag', 'Ag']","[[0.44, 0.44, 0.15], [0.06, 0.05, 0.15], [0.83, 0.83, 0.15], [0.19, 0.69, 0.65], [0.69, 0.19, 0.65]]"
"[3.9, 3.9, 16.0]","[90.0, 90.0, 119.0]","['Ce', 'Ce', 'Ce', 'Ce', 'Ni', 'Ni', 'Ni', 'Ni', 'P', 'P', 'P', 'P']","[[0.62, 0.76, 0.48], [0.62, 0.76, 0.98], [0.62, 0.76, 0.23], [0.62, 0.76, 0.73], [0.95, 0.42, 0.35], [0.28, 0.09, 0.6], [0.28, 0.09, 0.85], [0.95, 0.42, 0.1], [0.95, 0.42, 0.86], [0.28, 0.09, 0.1], [0.28, 0.09, 0.36], [0.95, 0.42, 0.6]]"
"[5.8, 5.8, 5.8]","[120.0, 120.0, 89.0]","['Li', 'Li', 'Co', 'Co', 'Cu', 'Cu', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.55, 0.74, 0.6], [0.55, 0.24, 0.1], [0.05, 0.74, 0.6], [0.55, 0.74, 0.1], [0.05, 0.24, 0.6], [0.05, 0.74, 0.1], [0.81, 0.97, 0.63], [0.28, 0.97, 0.07], [0.29, 0.96, 0.61], [0.29, 0.52, 0.09], [0.82, 0.97, 0.13], [0.82, 0.51, 0.57], [0.83, 0.5, 0.11], [0.28, 0.5, 0.59]]"
"[0.48, 0.85, 0.78]",[],[],[]
"[7.5, 5.4, 7.5]","[107.0, 96.0, 108.0]","['Li', 'Li', 'Fe', 'Fe', 'P', 'P', 'H', 'H', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.75, 0.94, 0.88], [0.41, 0.91, 0.24], [0.08, 0.92, 0.56], [0.08, 0.42, 0.06], [0.74, 0.54, 0.39], [0.42, 0.31, 0.73], [0.94, 0.02, 0.27], [0.23, 0.83, 0.85], [0.3, 0.76, 0.94], [0.86, 0.08, 0.17], [0.95, 0.77, 0.31], [0.41, 0.76, 0.66], [0.75, 0.1, 0.45], [0.71, 0.58, 0.19], [0.45, 0.27, 0.93], [0.79, 0.57, 0.72], [0.36, 0.28, 0.4], [0.21, 0.57, 0.32]]"
"[5.9, 5.8, 10.1]","[55.0, 90.0, 90.0]","['Sr', 'Sr', 'Sr', 'Sr', 'Y', 'Y', 'Ir', 'Ir', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.74, 0.18, 0.46], [0.24, 0.67, 0.46], [0.65, 0.67, 0.96], [0.15, 0.18, 0.96], [0.7, 0.92, 0.21], [0.2, 0.92, 0.71], [0.7, 0.42, 0.71], [0.2, 0.42, 0.21], [0.42, 0.19, 0.75], [0.92, 0.66, 0.16], [0.02, 0.26, 0.66], [0.52, 0.59, 0.25], [0.92, 0.66, 0.66], [0.42, 0.19, 0.16], [0.5, 0.59, 0.75], [0.0, 0.26, 0.16], [0.22, 0.74, 0.97], [0.72, 0.1, 0.95], [0.19, 0.1, 0.45], [0.69, 0.74, 0.47]]"
"[5.2, 5.2, 4.2]","[90.0, 90.0, 120.0]","['Eu', 'Cu', 'Cu', 'Cu', 'Pd', 'Pd']","[[0.87, 0.82, 0.77], [0.37, 0.82, 0.27], [0.37, 0.32, 0.27], [0.87, 0.32, 0.27], [0.54, 0.15, 0.77], [0.21, 0.48, 0.77]]"
"[5.2, 5.1, 7.9]","[89.0, 90.0, 89.0]","['Li', 'Li', 'Li', 'Li', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.42, 0.88, 0.74], [0.92, 0.38, 0.24], [0.92, 0.38, 0.74], [0.42, 0.88, 0.24], [0.92, 0.88, 0.99], [0.42, 0.38, 0.24], [0.92, 0.88, 0.49], [0.42, 0.38, 0.74], [0.42, 0.38, 0.49], [0.92, 0.88, 0.24], [0.92, 0.38, 0.99], [0.42, 0.88, 0.49], [0.14, 0.59, 0.49], [0.64, 0.09, 0.99], [0.6, 0.57, 0.23], [0.1, 0.07, 0.73], [0.1, 0.07, 0.49], [0.6, 0.57, 0.99], [0.64, 0.09, 0.24], [0.14, 0.59, 0.74], [0.3, 0.26, 0.99], [0.8, 0.76, 0.49], [0.84, 0.78, 0.74], [0.34, 0.28, 0.24]]"
"[10.6, 10.6, 10.6]","[22.0, 22.0, 22.0]","['Sr', 'Ca', 'Ca', 'Ca']","[[0.68, 0.25, 0.65], [0.46, 0.03, 0.42], [0.89, 0.46, 0.85], [0.27, 0.84, 0.23]]"
"[0.97, 0.97, 7.9]","[90.0, 90.0, 149.0]","['Cs', 'Np', 'Cu', 'S', 'S', 'S']","[[0.63, 0.89, 0.17], [0.36, 0.16, 0.67], [0.89, 0.62, 0.67], [0.0, 0.75, 0.87], [0.39, 0.12, 0.37], [0.0, 0.75, 0.47]]"
"[7.5, 7.5, 5.6]","[69.0, 69.0, 44.0]","['Sr', 'Sr', 'Mg', 'Mg', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']","[[0.64, 0.84, 0.19], [0.14, 0.34, 0.69], [0.39, 0.59, 0.94], [0.89, 0.09, 0.44], [0.21, 0.66, 0.78], [0.81, 0.41, 0.61], [0.07, 0.02, 0.11], [0.46, 0.77, 0.28], [0.52, 0.27, 0.96], [0.57, 0.21, 0.42], [0.27, 0.91, 0.92], [0.72, 0.47, 0.46]]"
"[4.7, 4.7, 4.7]","[90.0, 90.0, 90.0]","['Cs', 'I']","[[0.05, 0.38, 0.6], [0.55, 0.88, 0.1]]"
"[5.9, 5.9, 5.9]","[75.0, 75.0, 75.0]","['K', 'K', 'K', 'K', 'N', 'N', 'O', 'O', 'O', 'O', 'O']","[[0.09, 0.3, 0.41], [0.09, 0.82, 0.89], [0.61, 0.82, 0.39], [0.57, 0.3, 0.91], [0.59, 0.8, 0.89], [0.59, 0.32, 0.41], [0.19, 0.31, 0.9], [0.09, 0.81, 0.4], [0.49, 0.31, 0.39], [0.59, 0.81, 0.89], [0.09, 0.32, 0.91]]"
"[7.0, 7.0, 7.0]","[59.0, 59.0, 59.0]","['Sn', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'N', 'N', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']","[[0.3, 0.62, 0.54], [0.97, 0.29, 0.76], [0.52, 0.29, 0.76], [0.97, 0.84, 0.76], [0.52, 0.84, 0.21], [0.97, 0.84, 0.21], [0.52, 0.29, 0.21], [0.97, 0.29, 0.21], [0.52, 0.84, 0.76], [0.95, 0.27, 0.73], [0.54, 0.86, 0.24], [0.01, 0.33, 0.29], [0.48, 0.33, 0.29], [0.01, 0.81, 0.29], [0.48, 0.81, 0.7], [0.01, 0.81, 0.7], [0.48, 0.33, 0.7]]"
"[9.1, 9.1, 9.1]","[29.0, 29.0, 29.0]","['Na', 'Na', 'Na', 'Na', 'Br', 'Br', 'Cl', 'Cl']","[[0.04, 0.69, 0.84], [0.5, 0.15, 0.29], [0.27, 0.92, 0.02], [0.73, 0.39, 0.48], [0.62, 0.27, 0.39], [0.35, 0.01, 0.11], [0.85, 0.51, 0.61], [0.12, 0.77, 0.89]]"
